ts,site,uplink,interval_s,down_bytes,up_bytes
2026-08-11T09:56:27.667810Z,LSB--UDM-1,wan,120,92520,4590600
2026-08-11T09:56:27.667810Z,NID--UDM-1,wan,120,15480,15480
2026-08-11T09:56:27.667810Z,WTB--UDM-1,wan,120,51480,51480
2026-08-11T09:58:41.820824Z,HAN--UDM-1,wan,120,15960,15960
2026-08-11T09:58:41.820824Z,KLO--UDM-1,wan,120,51480,51480
2026-08-11T09:58:41.820824Z,KNZ--UDM-1,wan,120,16080,28560
2026-08-11T09:58:41.820824Z,LSB--UDM-1,wan,120,201480,4223160
2026-08-11T09:58:41.820824Z,NID--UDM-1,wan,120,32160,32160
2026-08-11T09:58:41.820824Z,WTB--UDM-1,wan,120,164640,193320
2026-08-11T10:00:50.497951Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:00:50.497951Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T10:00:50.497951Z,KNZ--UDM-1,wan,120,21360,21360
2026-08-11T10:00:50.497951Z,LSB--UDM-1,wan,120,233760,5405040
2026-08-11T10:00:50.497951Z,NID--UDM-1,wan,120,16080,22560
2026-08-11T10:00:50.497951Z,WTB--UDM-1,wan,120,40320,39360
2026-08-11T10:02:23.834746Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:02:23.834746Z,KLO--UDM-1,wan,120,24840,30960
2026-08-11T10:02:23.834746Z,KNZ--UDM-1,wan,120,55800,55800
2026-08-11T10:02:23.834746Z,LSB--UDM-1,wan,120,254640,5293920
2026-08-11T10:02:23.834746Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T10:02:23.834746Z,WTB--UDM-1,wan,120,15240,26880
2026-08-11T10:04:24.388067Z,HAN--UDM-1,wan,120,22080,22080
2026-08-11T10:04:24.388067Z,KLO--UDM-1,wan,120,15960,15960
2026-08-11T10:04:24.388067Z,KNZ--UDM-1,wan,120,27360,32520
2026-08-11T10:04:24.388067Z,LSB--UDM-1,wan,120,280200,5564880
2026-08-11T10:04:24.388067Z,NID--UDM-1,wan,120,15600,15600
2026-08-11T10:04:24.388067Z,WTB--UDM-1,wan,120,51480,51480
2026-08-11T10:06:25.862905Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:06:25.862905Z,KLO--UDM-1,wan,120,32160,26760
2026-08-11T10:06:25.862905Z,KNZ--UDM-1,wan,120,32160,32160
2026-08-11T10:06:25.862905Z,LSB--UDM-1,wan,120,179040,3987480
2026-08-11T10:06:25.862905Z,NID--UDM-1,wan,120,74520,56880
2026-08-11T10:06:25.862905Z,WTB--UDM-1,wan,120,230640,163560
2026-08-11T10:08:25.037106Z,HAN--UDM-1,wan,120,21360,21360
2026-08-11T10:08:25.037106Z,KLO--UDM-1,wan,120,16080,23400
2026-08-11T10:08:25.037106Z,KNZ--UDM-1,wan,120,32400,33240
2026-08-11T10:08:25.037106Z,LSB--UDM-1,wan,120,258600,5313120
2026-08-11T10:08:25.037106Z,NID--UDM-1,wan,120,22080,22080
2026-08-11T10:08:25.037106Z,WTB--UDM-1,wan,120,10278960,762960
2026-08-11T10:11:49.584820Z,HAN--UDM-1,wan,120,14880,14880
2026-08-11T10:11:49.584820Z,KLO--UDM-1,wan,120,15960,15960
2026-08-11T10:11:49.584820Z,KNZ--UDM-1,wan,120,21360,42120
2026-08-11T10:11:49.584820Z,LSB--UDM-1,wan,120,476760,6688800
2026-08-11T10:11:49.584820Z,NID--UDM-1,wan,120,20280,20280
2026-08-11T10:11:49.584820Z,WTB--UDM-1,wan,120,27360,16080
2026-08-11T10:12:27.781394Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:12:27.781394Z,KLO--UDM-1,wan,120,16080,23400
2026-08-11T10:12:27.781394Z,KNZ--UDM-1,wan,120,54120,45720
2026-08-11T10:12:27.781394Z,LSB--UDM-1,wan,120,211200,4714920
2026-08-11T10:12:27.781394Z,NID--UDM-1,wan,120,21360,43920
2026-08-11T10:12:27.781394Z,WTB--UDM-1,wan,120,14520,20880
2026-08-11T10:14:26.283891Z,HAN--UDM-1,wan,120,48480,48480
2026-08-11T10:14:26.283891Z,KLO--UDM-1,wan,120,15120,15120
2026-08-11T10:14:26.283891Z,KNZ--UDM-1,wan,120,16080,16080
2026-08-11T10:14:26.283891Z,LSB--UDM-1,wan,120,196560,4157160
2026-08-11T10:14:26.283891Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T10:14:26.283891Z,WTB--UDM-1,wan,120,72000,55800
2026-08-11T10:16:30.093657Z,HAN--UDM-1,wan,120,15960,15960
2026-08-11T10:16:30.093657Z,KLO--UDM-1,wan,120,95760,101880
2026-08-11T10:16:30.093657Z,KNZ--UDM-1,wan,120,25800,25800
2026-08-11T10:16:30.093657Z,LSB--UDM-1,wan,120,371880,7615320
2026-08-11T10:16:30.093657Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T10:16:30.093657Z,WTB--UDM-1,wan,120,51480,51480
2026-08-11T10:18:26.794681Z,HAN--UDM-1,wan,120,16080,36600
2026-08-11T10:18:26.794681Z,KLO--UDM-1,wan,120,57600,57600
2026-08-11T10:18:26.794681Z,KNZ--UDM-1,wan,120,439080,114840
2026-08-11T10:18:26.794681Z,LSB--UDM-1,wan,120,209040,4567200
2026-08-11T10:18:26.794681Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T10:18:26.794681Z,WTB--UDM-1,wan,120,64080,53880
2026-08-11T10:20:33.829578Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:20:33.829578Z,KLO--UDM-1,wan,120,260400,204840
2026-08-11T10:20:33.829578Z,KNZ--UDM-1,wan,120,29640,29640
2026-08-11T10:20:33.829578Z,LSB--UDM-1,wan,120,206760,4793520
2026-08-11T10:20:33.829578Z,NID--UDM-1,wan,120,15960,36480
2026-08-11T10:20:33.829578Z,WTB--UDM-1,wan,120,86040,62040
2026-08-11T10:22:31.426530Z,HAN--UDM-1,wan,120,51480,51480
2026-08-11T10:22:31.426530Z,KLO--UDM-1,wan,120,21360,37800
2026-08-11T10:22:31.426530Z,KNZ--UDM-1,wan,120,16080,16080
2026-08-11T10:22:31.426530Z,LSB--UDM-1,wan,120,188040,3240960
2026-08-11T10:22:31.426530Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T10:22:31.426530Z,WTB--UDM-1,wan,120,54840,55200
2026-08-11T10:24:24.211617Z,HAN--UDM-1,wan,120,51480,51480
2026-08-11T10:24:24.211617Z,KLO--UDM-1,wan,120,30600,30600
2026-08-11T10:24:24.211617Z,KNZ--UDM-1,wan,120,30240,21360
2026-08-11T10:24:24.211617Z,LSB--UDM-1,wan,120,205680,4194720
2026-08-11T10:24:24.211617Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T10:24:24.211617Z,WTB--UDM-1,wan,120,85680,60240
2026-08-11T10:26:31.332356Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:26:31.332356Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T10:26:31.332356Z,KNZ--UDM-1,wan,120,24240,15600
2026-08-11T10:26:31.332356Z,LSB--UDM-1,wan,120,259200,5092440
2026-08-11T10:26:31.332356Z,NID--UDM-1,wan,120,16080,36600
2026-08-11T10:26:31.332356Z,WTB--UDM-1,wan,120,59640,77400
2026-08-11T10:28:32.166680Z,HAN--UDM-1,wan,120,22080,22080
2026-08-11T10:28:32.166680Z,KLO--UDM-1,wan,120,57600,57600
2026-08-11T10:28:32.166680Z,KNZ--UDM-1,wan,120,477120,588840
2026-08-11T10:28:32.166680Z,LSB--UDM-1,wan,120,163920,4790400
2026-08-11T10:28:32.166680Z,NID--UDM-1,wan,120,67080,73560
2026-08-11T10:28:32.166680Z,WTB--UDM-1,wan,120,33840,27960
2026-08-11T10:30:42.765334Z,HAN--UDM-1,wan,120,29280,29280
2026-08-11T10:30:42.765334Z,KLO--UDM-1,wan,120,49800,49800
2026-08-11T10:30:42.765334Z,KNZ--UDM-1,wan,120,46320,46320
2026-08-11T10:30:42.765334Z,LSB--UDM-1,wan,120,211320,1768560
2026-08-11T10:30:42.765334Z,NID--UDM-1,wan,120,21360,21360
2026-08-11T10:30:42.765334Z,WTB--UDM-1,wan,120,50880,61080
2026-08-11T10:32:23.920661Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:32:23.920661Z,KLO--UDM-1,wan,120,16080,29160
2026-08-11T10:32:23.920661Z,KNZ--UDM-1,wan,120,90600,58080
2026-08-11T10:32:23.920661Z,LSB--UDM-1,wan,120,237120,4842600
2026-08-11T10:32:23.920661Z,NID--UDM-1,wan,120,161520,43080
2026-08-11T10:32:23.920661Z,WTB--UDM-1,wan,120,51480,51480
2026-08-11T10:34:27.112181Z,HAN--UDM-1,wan,120,21960,21960
2026-08-11T10:34:27.112181Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T10:34:27.112181Z,KNZ--UDM-1,wan,120,48960,48960
2026-08-11T10:34:27.112181Z,LSB--UDM-1,wan,120,69120,877800
2026-08-11T10:34:27.112181Z,NID--UDM-1,wan,120,16080,36600
2026-08-11T10:34:27.112181Z,WTB--UDM-1,wan,120,35040,41160
2026-08-11T10:36:25.729253Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:36:25.729253Z,KLO--UDM-1,wan,120,22080,22080
2026-08-11T10:36:25.729253Z,KNZ--UDM-1,wan,120,62880,62880
2026-08-11T10:36:25.729253Z,LSB--UDM-1,wan,120,266640,4758720
2026-08-11T10:36:25.729253Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T10:36:25.729253Z,WTB--UDM-1,wan,120,128520,102480
2026-08-11T10:38:24.218336Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:38:24.218336Z,KLO--UDM-1,wan,120,56640,56640
2026-08-11T10:38:24.218336Z,KNZ--UDM-1,wan,120,48240,48240
2026-08-11T10:38:24.218336Z,LSB--UDM-1,wan,120,262440,4700520
2026-08-11T10:38:24.218336Z,NID--UDM-1,wan,120,67560,74160
2026-08-11T10:38:24.218336Z,WTB--UDM-1,wan,120,16080,16080
2026-08-11T10:40:32.405482Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:40:32.405482Z,KLO--UDM-1,wan,120,15960,15960
2026-08-11T10:40:32.405482Z,KNZ--UDM-1,wan,120,65280,64320
2026-08-11T10:40:32.405482Z,LSB--UDM-1,wan,120,202200,3605760
2026-08-11T10:40:32.405482Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T10:40:32.405482Z,WTB--UDM-1,wan,120,33240,22200
2026-08-11T10:44:30.542126Z,HAN--UDM-1,wan,120,54720,32880
2026-08-11T10:44:30.542126Z,KLO--UDM-1,wan,120,24840,22080
2026-08-11T10:44:30.542126Z,KNZ--UDM-1,wan,120,75720,72960
2026-08-11T10:44:30.542126Z,LSB--UDM-1,wan,120,147000,3561600
2026-08-11T10:44:30.542126Z,NID--UDM-1,wan,120,51480,67560
2026-08-11T10:44:30.542126Z,WTB--UDM-1,wan,120,204600,834120
2026-08-11T10:46:26.322264Z,HAN--UDM-1,wan,120,51480,51480
2026-08-11T10:46:26.322264Z,KLO--UDM-1,wan,120,86880,86880
2026-08-11T10:46:26.322264Z,KNZ--UDM-1,wan,120,53520,53520
2026-08-11T10:46:26.322264Z,LSB--UDM-1,wan,120,176520,3463920
2026-08-11T10:46:26.322264Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T10:46:26.322264Z,WTB--UDM-1,wan,120,58560,62160
2026-08-11T10:48:24.682431Z,HAN--UDM-1,wan,120,22080,22080
2026-08-11T10:48:24.682431Z,KLO--UDM-1,wan,120,15120,15120
2026-08-11T10:48:24.682431Z,KNZ--UDM-1,wan,120,14760,14760
2026-08-11T10:48:24.682431Z,LSB--UDM-1,wan,120,193200,3474360
2026-08-11T10:48:24.682431Z,NID--UDM-1,wan,120,15960,15960
2026-08-11T10:48:24.682431Z,WTB--UDM-1,wan,120,1278000,1635960
2026-08-11T10:50:35.278132Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T10:50:35.278132Z,KLO--UDM-1,wan,120,51360,51360
2026-08-11T10:50:35.278132Z,KNZ--UDM-1,wan,120,654480,163920
2026-08-11T10:50:35.278132Z,LSB--UDM-1,wan,120,352440,3370440
2026-08-11T10:50:35.278132Z,NID--UDM-1,wan,120,547680,470880
2026-08-11T10:50:35.278132Z,WTB--UDM-1,wan,120,82200,495000
